"&AMP;"," & "
"+"," & "
" AND "," & "
" ET "," & "
" UND "," & "
"&"," & "
"(THE)"," "
" THE "," "
"'",""
";",""
"^",""
"<",""
".",""
"`",""
"_",""
">",""
"''",""
"!",""
"+",""
"?",""
"(",""
"£",""
"{",""
"\\",""
")",""
"$",""
"}",""
"|",""
",",""
"%",""
"[",""
"¦",""
"*",""
"]",""
"/"," "
"@",""
":",""
"~",""
"#",""
"-"," "
